uid,title,summary,teacher_avg_star_rating,subject,age_min,age_max,size_max,class_type,duration_weeks,weekly_meetings,duration_minutes,total_duration_minutes,price_dollars,section_uid,start_date,start_dow,start_hour_of_day,start_time,end_time,total_enrollments,meeting_1_start_time,meeting_1_end_time,meeting_2_start_time,meeting_2_end_time,meeting_3_start_time,meeting_3_end_time,meeting_4_start_time,meeting_4_end_time,meeting_5_start_time,meeting_5_end_time,meeting_6_start_time,meeting_6_end_time,meeting_7_start_time,meeting_7_end_time,meeting_8_start_time,meeting_8_end_time,meeting_9_start_time,meeting_9_end_time,meeting_10_start_time,meeting_10_end_time,meeting_11_start_time,meeting_11_end_time,meeting_12_start_time,meeting_12_end_time,meeting_13_start_time,meeting_13_end_time,meeting_14_start_time,meeting_14_end_time,meeting_15_start_time,meeting_15_end_time,meeting_16_start_time,meeting_16_end_time,meeting_17_start_time,meeting_17_end_time,meeting_18_start_time,meeting_18_end_time,meeting_19_start_time,meeting_19_end_time,meeting_20_start_time,meeting_20_end_time
b2dbfaba-7e8b-4bbd-a5fa-77f60638d7f9,Summer Camp: Scratch Coding Projects for Kids,"In this online live course, students will learn some Scratch coding and game skills",4.5892857142857143,Coding & Tech,7,11,12,short,2,3,90,270,149.0000000000000000,15a4f440-229e-4797-ac79-898dbda03828,2020-07-13T00:00:00.000-07:00,Mon,7.0,2020-07-13T07:30:00.000-07:00,2020-07-24T09:00:00.000-07:00,1,2020-07-13T07:30:00.000-07:00,2020-07-13T09:00:00.000-07:00,2020-07-15T07:30:00.000-07:00,2020-07-15T09:00:00.000-07:00,2020-07-17T07:30:00.000-07:00,2020-07-17T09:00:00.000-07:00,2020-07-20T07:30:00.000-07:00,2020-07-20T09:00:00.000-07:00,2020-07-22T07:30:00.000-07:00,2020-07-22T09:00:00.000-07:00,2020-07-24T07:30:00.000-07:00,2020-07-24T09:00:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c94a7ca8-a53c-4e0c-9c49-1a7d883ae28b,Factoring Polynomials Completely - An Essential Algebra 1 Skill,"In this one-time course, students will learn how to factor trinomials (polynomials with 3 terms, ie. 7x^2+32x-15) in which the leading coefficient is greater than one, as well as other polynomials; typically taught near the end of the second semester of Algebra 1. This class is a great follow-up to my Multiplying Polynomials with FOIL class.",5.0000000000000000,Math,13,18,6,one_time,1,1,50,50,15.0000000000000000,e170ce2f-2752-48b2-8a64-7175f1bdf31c,2020-07-15T00:00:00.000-07:00,Wed,12.0,2020-07-15T12:00:00.000-07:00,2020-07-15T12:50:00.000-07:00,1,2020-07-15T12:00:00.000-07:00,2020-07-15T12:50:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97ee3eb1-ab5b-4ee6-a2e2-eaf6d9248029,Stock Market Summer Camp Ages 9-12,Students will learn basic information about the stock market while competing against their classmates to gain the most profit on their investments.  ,4.8043478260869565,Math,9,12,10,short,2,3,45,135,60.0000000000000000,84da227d-6c68-436f-8c88-0357dcdeaf2c,2020-07-13T00:00:00.000-07:00,Mon,7.0,2020-07-13T07:30:00.000-07:00,2020-07-22T08:15:00.000-07:00,2,2020-07-13T07:30:00.000-07:00,2020-07-13T08:15:00.000-07:00,2020-07-14T07:30:00.000-07:00,2020-07-14T08:15:00.000-07:00,2020-07-15T07:30:00.000-07:00,2020-07-15T08:15:00.000-07:00,2020-07-20T07:30:00.000-07:00,2020-07-20T08:15:00.000-07:00,2020-07-21T07:30:00.000-07:00,2020-07-21T08:15:00.000-07:00,2020-07-22T07:30:00.000-07:00,2020-07-22T08:15:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e84ed539-83d3-4247-aa9b-8ac8f4f04841,The Wonders of Nature and Plants,"Students will discover nature by learning about the parts of a plant. We will read a book, discuss the parts of a plant and do drawings of nature.",5.0000000000000000,Science & Nature,5,8,6,one_time,1,1,40,40,10.0000000000000000,e91849a2-46ff-4c16-a0a9-2d21098e7e15,2020-07-14T00:00:00.000-07:00,Tue,10.0,2020-07-14T10:00:00.000-07:00,2020-07-14T10:40:00.000-07:00,1,2020-07-14T10:00:00.000-07:00,2020-07-14T10:40:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f410dc82-799b-446a-afc4-cdf63bb74988,Mindful Slow Yoga for Teens,"This ongoing yoga class for teens to help to relieve stress and anxiety, which incorporates slow mindful yoga class, fun warm-ups, and a nice relaxing meditation to end the class. ",4.6666666666666667,Health & Wellness,14,18,15,ongoing,1,1,55,55,15.0000000000000000,2fc7c894-68f6-4796-a82e-a9ebbac572f3,2020-07-17T00:00:00.000-07:00,Fri,14.0,2020-07-17T14:00:00.000-07:00,2020-09-11T14:55:00.000-07:00,1,2020-07-17T14:00:00.000-07:00,2020-07-17T14:55:00.000-07:00,2020-07-24T14:00:00.000-07:00,2020-07-24T14:55:00.000-07:00,2020-07-31T14:00:00.000-07:00,2020-07-31T14:55:00.000-07:00,2020-08-07T14:00:00.000-07:00,2020-08-07T14:55:00.000-07:00,2020-08-14T14:00:00.000-07:00,2020-08-14T14:55:00.000-07:00,2020-08-21T14:00:00.000-07:00,2020-08-21T14:55:00.000-07:00,2020-08-28T14:00:00.000-07:00,2020-08-28T14:55:00.000-07:00,2020-09-04T14:00:00.000-07:00,2020-09-04T14:55:00.000-07:00,2020-09-11T14:00:00.000-07:00,2020-09-11T14:55:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,
ce1e19ab-89fe-4e87-a32a-48b051abae9a,Landmarks Around the World: Art Camp with Mrs. Natalie,"In this camp, we will take a trip around the world and explore major landmarks, learn geography, foods, fun facts and receive step by step instruction how to draw or paint famous international landmarks.",4.9167404782993800,Arts,6,11,14,camp,1,3,45,135,40.0000000000000000,8a5b1027-8944-458c-ae0f-8e73a22db39a,2020-07-15T00:00:00.000-07:00,Wed,10.0,2020-07-15T10:00:00.000-07:00,2020-07-17T10:45:00.000-07:00,5,2020-07-15T10:00:00.000-07:00,2020-07-15T10:45:00.000-07:00,2020-07-16T10:00:00.000-07:00,2020-07-16T10:45:00.000-07:00,2020-07-17T10:00:00.000-07:00,2020-07-17T10:45:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59627af6-996c-42cd-b086-5b5ac3359a2a,The Power of Lying & Cheating VS Keeping Your Word and Building Integrity,"Everyone struggles with cheating, lying, and bending the truth to 'preserve' any hurt. In this 2 module course, we will explore the ways we hurt our success, honesty, and ultimately those we love when we don't stand up for our values. ",4.7795275590551181,Life Skills,8,13,18,camp,1,2,55,110,46.0000000000000000,cb306a8b-55a3-43fe-add8-8fe55c1d43a3,2020-07-16T00:00:00.000-07:00,Thu,9.0,2020-07-16T09:00:00.000-07:00,2020-07-17T09:55:00.000-07:00,1,2020-07-16T09:00:00.000-07:00,2020-07-16T09:55:00.000-07:00,2020-07-17T09:00:00.000-07:00,2020-07-17T09:55:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad74f5b6-b4e2-4cd3-af6f-c5b0a976fe15,"Start with a Picture, Then Write!",This 50-minute course will jump start young writers as they focus on small moments from their lives.,4.9574468085106383,English,5,7,6,one_time,1,1,50,50,15.0000000000000000,9fc23e6a-bd5a-4dcc-9b9b-201bed909081,2020-07-13T00:00:00.000-07:00,Mon,8.0,2020-07-13T08:00:00.000-07:00,2020-07-13T08:50:00.000-07:00,1,2020-07-13T08:00:00.000-07:00,2020-07-13T08:50:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168d7da6-a9de-4514-b817-f4b2b7721186,Animal Crossing: Make a Beautiful Island!,"In this one time course, students will learn how to transform and decorate their island and increase their island's star rating. ",4.5909090909090909,Coding & Tech,9,13,10,one_time,1,1,40,40,9.0000000000000000,db009fbe-ea6f-47e9-a55f-2ecc9412eed4,2020-07-15T00:00:00.000-07:00,Wed,14.0,2020-07-15T14:00:00.000-07:00,2020-07-15T14:40:00.000-07:00,1,2020-07-15T14:00:00.000-07:00,2020-07-15T14:40:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f45c92-2970-4251-a324-d828bb479dc9,Amphibian Foundation: Disease and Conservation of Amphibians and Reptiles!,"This class will introduce a brief summary of wildlife diseases, their investigation, and the roles they play in the conservation of herpetofauna. We will also get a look at live animals who are impacted by wildlife disease!",4.7413793103448276,Science & Nature,15,18,15,one_time,1,1,60,60,15.0000000000000000,bb3948d9-873d-41b3-b84e-208c1943795e,2020-07-16T00:00:00.000-07:00,Thu,7.0,2020-07-16T07:00:00.000-07:00,2020-07-16T08:00:00.000-07:00,1,2020-07-16T07:00:00.000-07:00,2020-07-16T08:00:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
